x1,y1,r1,g1,b1,x2,y2,r2,g2,b2,x3,y3,r3,g3,b3
877,959,0,203,203,913,987,0,227,227,887,1006,64,169,169
913,987,0,227,227,877,959,0,203,203,915,953,64,192,192
1509,44,0,185,185,1510,87,0,172,172,1473,74,64,181,181
1510,87,0,172,172,1509,44,0,185,185,1545,58,64,184,184
1438,95,0,238,238,1473,74,0,181,181,1473,111,64,229,229
1473,74,0,181,181,1438,95,0,238,238,1445,52,64,217,217
1434,132,0,224,224,1395,107,0,206,206,1438,95,64,238,238
1395,107,0,206,206,1434,132,0,224,224,1398,144,64,149,149
190,1068,0,31,31,203,1011,0,40,40,220,1040,64,32,32
203,1011,0,40,40,190,1068,0,31,31,149,1050,64,39,39
800,1107,0,129,129,777,1079,0,116,116,814,1077,64,142,142
777,1079,0,116,116,800,1107,0,129,129,761,1104,64,122,122
1542,1117,0,159,159,1545,1084,0,154,154,1570,1099,64,209,209
1545,1084,0,154,154,1542,1117,0,159,159,1512,1093,64,176,176
1510,87,0,172,172,1473,111,0,229,229,1473,74,64,181,181
1473,111,0,229,229,1510,87,0,172,172,1506,123,64,160,160
1738,807,0,214,214,1773,826,0,118,118,1731,834,64,194,194
1773,826,0,118,118,1738,807,0,214,214,1765,777,64,218,218
949,1081,0,195,195,931,1050,0,203,203,966,1046,64,189,189
931,1050,0,203,203,949,1081,0,195,195,919,1080,64,217,217
984,271,0,72,72,1002,371,0,37,37,914,264,64,212,212
1002,371,0,37,37,984,271,0,72,72,1050,277,64,238,238
776,180,0,160,160,774,210,0,160,160,747,186,64,122,122
774,210,0,160,160,776,180,0,160,160,801,199,64,159,159
426,176,0,43,43,408,253,0,29,29,367,221,64,70,70
408,253,0,29,29,426,176,0,43,43,485,219,64,47,47
1777,639,0,206,206,1781,687,0,206,206,1748,668,64,90,90
1781,687,0,206,206,1777,639,0,206,206,1824,675,64,200,200
1506,123,0,160,160,1471,151,0,200,200,1473,111,64,229,229
1471,151,0,200,200,1506,123,0,160,160,1513,152,64,128,128
1812,329,0,206,206,1824,309,0,229,229,1831,333,64,226,226
1824,309,0,229,229,1812,329,0,206,206,1794,326,64,176,176
800,672,0,136,136,792,708,0,163,163,771,690,64,142,142
792,708,0,163,163,800,672,0,136,136,817,697,64,138,138
718,1038,0,121,121,744,1073,0,99,99,726,1080,64,84,84
744,1073,0,99,99,718,1038,0,121,121,755,1051,64,132,132
431,1076,0,61,61,467,1045,0,54,54,479,1083,64,72,72
467,1045,0,54,54,431,1076,0,61,61,420,1039,64,68,68
899,1105,0,210,210,919,1080,0,217,217,949,1081,64,195,195
919,1080,0,217,217,899,1105,0,210,210,893,1080,64,215,215
823,759,0,142,142,792,708,0,163,163,817,697,64,138,138
792,708,0,163,163,823,759,0,142,142,778,746,64,182,182
1252,838,0,143,143,1319,772,0,44,44,1323,825,64,149,149
1319,772,0,44,44,1252,838,0,143,143,1214,795,64,31,31
1673,1099,0,159,159,1718,1080,0,138,138,1704,1105,64,153,153
1718,1080,0,138,138,1673,1099,0,159,159,1672,863,64,146,146
1208,1112,0,184,184,1021,1051,0,77,77,1183,1069,64,138,138
1561,821,0,233,233,1601,794,0,150,150,1613,834,64,175,175
1601,794,0,150,150,1561,821,0,233,233,1560,789,64,35,35
1035,87,0,204,204,1001,110,0,221,221,981,92,64,226,226
1001,110,0,221,221,1035,87,0,204,204,1042,132,64,72,72
569,215,0,23,23,572,341,0,14,14,522,306,64,46,46
572,341,0,14,14,569,215,0,23,23,747,278,64,59,59
786,99,0,145,145,802,116,0,176,176,776,113,64,182,182
802,116,0,176,176,786,99,0,145,145,836,89,64,124,124
1662,638,0,135,135,1640,600,0,143,143,1701,592,64,69,69
1640,600,0,143,143,1662,638,0,135,135,1616,619,64,136,136
1569,515,0,90,90,1579,436,0,142,142,1621,452,64,191,191
1579,436,0,142,142,1569,515,0,90,90,1502,437,64,162,162
1816,284,0,82,82,1836,292,0,223,223,1824,309,64,229,229
1836,292,0,223,223,1816,284,0,82,82,1815,233,64,52,52
1221,550,0,212,212,1203,585,0,138,138,1191,558,64,187,187
1203,585,0,138,138,1221,550,0,212,212,1256,577,64,167,167
951,584,0,131,131,1002,371,0,37,37,1092,549,64,140,140
1002,371,0,37,37,951,584,0,131,131,880,459,64,43,43
1673,731,0,114,114,1729,735,0,129,129,1683,765,64,147,147
1729,735,0,129,129,1673,731,0,114,114,1699,689,64,122,122
419,125,0,40,40,426,176,0,43,43,384,146,64,39,39
426,176,0,43,43,419,125,0,40,40,469,138,64,40,40
135,651,0,7,7,222,663,0,8,8,146,710,64,7,7
222,663,0,8,8,135,651,0,7,7,206,586,64,9,9
776,113,0,182,182,756,118,0,165,165,786,99,64,145,145
756,118,0,165,165,776,113,0,182,182,777,132,64,192,192
1672,863,0,146,146,1595,1094,0,162,162,1494,1011,64,207,207
1595,1094,0,162,162,1672,863,0,146,146,1673,1099,64,159,159
1494,1011,0,207,207,1469,844,0,41,41,1561,821,64,233,233
1469,844,0,41,41,1494,1011,0,207,207,1436,1008,64,118,118
1390,1113,0,192,192,1391,1074,0,170,170,1421,1089,64,184,184
1391,1074,0,170,170,1390,1113,0,192,192,1362,1092,64,127,127
883,804,0,181,181,942,741,0,50,50,925,852,64,162,162
942,741,0,50,50,883,804,0,181,181,906,748,64,170,170
1215,483,0,203,203,1219,445,0,140,140,1243,461,64,173,173
1219,445,0,140,140,1215,483,0,203,203,1196,464,64,139,139
799,426,0,25,25,783,287,0,104,104,830,258,64,127,127
783,287,0,104,104,799,426,0,25,25,752,342,64,94,94
804,169,0,179,179,834,186,0,182,182,801,199,64,159,159
834,186,0,182,182,804,169,0,179,179,832,155,64,197,197
371,285,0,43,43,312,335,0,57,57,327,267,64,56,56
312,335,0,57,57,371,285,0,43,43,351,358,64,58,58
482,932,0,59,59,583,832,0,6,6,527,961,64,53,53
583,832,0,6,6,482,932,0,59,59,454,819,64,8,8
420,1039,0,68,68,460,1010,0,68,68,467,1045,64,54,54
460,1010,0,68,68,420,1039,0,68,68,417,1013,64,72,72
1684,1116,0,146,146,1704,1105,0,153,153,1722,1128,64,200,200
1704,1105,0,153,153,1684,1116,0,146,146,1673,1099,64,159,159
1329,50,0,233,233,1357,76,0,210,210,1317,85,64,229,229
1357,76,0,210,210,1329,50,0,233,233,1364,36,64,232,232
901,124,0,129,129,867,100,0,101,101,911,83,64,120,120
867,100,0,101,101,901,124,0,129,129,862,139,64,179,179
911,83,0,120,120,958,115,0,139,139,901,124,64,129,129
958,115,0,139,139,911,83,0,120,120,981,92,64,226,226
751,161,0,170,170,778,154,0,185,185,776,180,64,160,160
778,154,0,185,185,751,161,0,170,170,756,140,64,189,189
861,171,0,188,188,899,190,0,192,192,866,205,64,184,184
899,190,0,192,192,861,171,0,188,188,890,156,64,179,179
572,341,0,14,14,747,278,0,59,59,752,342,64,94,94
790,464,0,109,109,799,426,0,25,25,828,451,64,77,77
799,426,0,25,25,790,464,0,109,109,763,449,64,90,90
807,505,0,124,124,880,459,0,43,43,823,566,64,60,60
880,459,0,43,43,807,505,0,124,124,828,451,64,77,77
757,554,0,59,59,726,493,0,46,46,763,496,64,77,77
726,493,0,46,46,757,554,0,59,59,654,647,64,8,8
1752,594,0,184,184,1727,635,0,89,89,1701,592,64,69,69
1727,635,0,89,89,1752,594,0,184,184,1777,639,64,206,206
1572,623,0,77,77,1567,582,0,46,46,1599,583,64,150,150
1567,582,0,46,46,1572,623,0,77,77,1522,614,64,162,162
1750,213,0,44,44,1816,284,0,82,82,1794,326,64,176,176
1816,284,0,82,82,1750,213,0,44,44,1815,233,64,52,52
1367,768,0,129,129,1427,767,0,103,103,1408,785,64,162,162
1427,767,0,103,103,1367,768,0,129,129,1290,647,64,79,79
880,459,0,43,43,799,426,0,25,25,914,264,64,212,212
799,426,0,25,25,880,459,0,43,43,828,451,64,77,77
1166,467,0,220,220,1181,491,0,191,191,1151,498,64,209,209
1181,491,0,191,191,1166,467,0,220,220,1196,464,64,139,139
951,584,0,131,131,919,629,0,75,75,864,631,64,139,139
919,629,0,75,75,951,584,0,131,131,958,622,64,149,149
928,917,0,201,201,887,878,0,182,182,925,852,64,162,162
887,878,0,182,182,928,917,0,201,201,894,929,64,188,188
823,759,0,142,142,817,697,0,138,138,856,717,64,170,170
1509,44,0,185,185,1473,74,0,181,181,1445,52,64,217,217
1304,29,0,239,239,1579,46,0,173,173,1509,44,64,185,185
1208,1112,0,184,184,1231,1104,0,191,191,1227,1125,64,173,173
1231,1104,0,191,191,1208,1112,0,184,184,1211,1087,64,146,146
949,970,0,203,203,1010,983,0,91,91,976,1010,64,156,156
1010,983,0,91,91,949,970,0,203,203,998,931,64,73,73
1029,871,0,9,9,1144,859,0,146,146,1090,896,64,99,99
1144,859,0,146,146,1029,871,0,9,9,994,649,64,40,40
1558,109,0,157,157,1636,97,0,173,173,1641,216,64,132,132
1636,97,0,173,173,1558,109,0,157,157,1606,85,64,217,217
1545,58,0,184,184,1509,44,0,185,185,1579,46,64,173,173
1545,58,0,184,184,1579,46,0,173,173,1581,85,64,185,185
790,875,0,160,160,803,914,0,136,136,759,906,64,132,132
803,914,0,136,136,790,875,0,160,160,840,886,64,149,149
887,878,0,182,182,840,886,0,149,149,855,837,64,150,150
840,886,0,149,149,887,878,0,182,182,868,919,64,188,188
839,968,0,175,175,852,1006,0,184,184,815,999,64,133,133
852,1006,0,184,184,839,968,0,175,175,877,959,64,203,203
1296,156,0,218,218,1334,147,0,230,230,1327,185,64,191,191
1334,147,0,230,230,1296,156,0,218,218,1305,120,64,138,138
1273,274,0,37,37,1233,371,0,156,156,1189,258,64,189,189
1233,371,0,156,156,1273,274,0,37,37,1269,364,64,147,147
1023,192,0,118,118,969,189,0,147,147,990,148,64,132,132
969,189,0,147,147,1023,192,0,118,118,975,225,64,184,184
801,199,0,159,159,834,186,0,182,182,835,221,64,142,142
799,426,0,25,25,830,258,0,127,127,914,264,64,212,212
830,258,0,127,127,835,221,0,142,142,871,244,64,185,185
835,221,0,142,142,830,258,0,127,127,802,229,64,75,75
1175,164,0,214,214,1212,177,0,227,227,1181,196,64,235,235
1212,177,0,227,227,1175,164,0,214,214,1207,140,64,210,210
1042,132,0,72,72,1068,98,0,220,220,1096,126,64,188,188
1068,98,0,220,220,1042,132,0,72,72,1035,87,64,204,204
1169,131,0,201,201,1130,150,0,215,215,1131,112,64,178,178
1130,150,0,215,215,1169,131,0,201,201,1175,164,64,214,214
1395,107,0,206,206,1345,110,0,217,217,1357,76,64,210,210
1345,110,0,217,217,1395,107,0,206,206,1366,134,64,230,230
1296,156,0,218,218,1254,141,0,230,230,1305,120,64,138,138
1254,141,0,230,230,1296,156,0,218,218,1262,189,64,203,203
1317,85,0,229,229,1357,76,0,210,210,1345,110,64,217,217
344,913,0,27,27,317,956,0,23,23,285,937,64,42,42
317,956,0,23,23,344,913,0,27,27,371,956,64,35,35
317,956,0,23,23,371,956,0,35,35,348,992,64,45,45
227,346,0,73,73,192,333,0,67,67,215,318,64,68,68
192,333,0,67,67,227,346,0,73,73,191,359,64,73,73
681,1008,0,93,93,606,1040,0,69,69,615,983,64,36,36
606,1040,0,69,69,681,1008,0,93,93,677,1053,64,34,34
138,203,0,27,27,175,235,0,63,63,109,247,64,23,23
175,235,0,63,63,138,203,0,27,27,175,202,64,38,38
203,1011,0,40,40,236,973,0,41,41,243,1006,64,38,38
236,973,0,41,41,203,1011,0,40,40,179,973,64,6,6
154,368,0,69,69,137,341,0,80,80,164,343,64,76,76
137,341,0,80,80,154,368,0,69,69,115,365,64,75,75
1695,212,0,96,96,1699,164,0,154,154,1725,173,64,152,152
1699,164,0,154,154,1695,212,0,96,96,1673,192,64,58,58
1836,292,0,223,223,1803,182,0,111,111,1783,99,64,197,197
1803,182,0,111,111,1836,292,0,223,223,1815,233,64,52,52
338,236,0,71,71,367,221,0,70,70,363,253,64,67,67
367,221,0,70,70,338,236,0,71,71,341,208,64,76,76
422,306,0,32,32,494,279,0,67,67,484,319,64,57,57
494,279,0,67,67,422,306,0,32,32,408,253,64,29,29
351,358,0,58,58,422,306,0,32,32,397,381,64,49,49
422,306,0,32,32,351,358,0,58,58,371,285,64,43,43
864,631,0,139,139,890,682,0,118,118,840,665,64,118,118
890,682,0,118,118,864,631,0,139,139,919,629,64,75,75
1092,549,0,140,140,1123,586,0,124,124,1067,608,64,99,99
1123,586,0,124,124,1092,549,0,140,140,1139,546,64,212,212
994,649,0,40,40,1029,871,0,9,9,942,741,64,50,50
1273,274,0,37,37,1207,217,0,227,227,1262,189,64,203,203
1207,217,0,227,227,1273,274,0,37,37,1189,258,64,189,189
1189,258,0,189,189,1050,277,0,238,238,1113,232,64,163,163
1050,277,0,238,238,1189,258,0,189,189,1233,371,64,156,156
1181,196,0,235,235,1212,177,0,227,227,1207,217,64,227,227
738,1120,0,94,94,555,1137,0,43,43,594,1099,64,50,50
790,583,0,100,100,823,566,0,60,60,824,627,64,104,104
823,566,0,60,60,790,583,0,100,100,796,544,64,70,70
840,665,0,118,118,824,627,0,104,104,864,631,64,139,139
824,627,0,104,104,840,665,0,118,118,800,672,64,136,136
769,661,0,109,109,757,610,0,100,100,792,633,64,76,76
757,610,0,100,100,769,661,0,109,109,742,679,64,114,114
1823,799,0,239,239,1769,870,0,89,89,1773,826,64,118,118
1769,870,0,89,89,1823,799,0,239,239,1804,1082,64,167,167
